"serivce folder 1" "service folder 2" sdk_name
Microsoft.StorageActions	storageactions
Microsoft.Bing	bing "no specs"
Microsoft.BillingBenefits	billingbenefits
Microsoft.Devices	deviceprovisioningservices
Microsoft.Network	dns
Microsoft.EdgeOrder	edgeorder
Microsoft.ElasticSan	elasticsan
Microsoft.GuestConfiguration	guestconfiguration
Microsoft.HardwareSecurityModules	hardwaresecuritymodules
Microsoft.Help	help
Microsoft.Kubernetes	hybridkubernetes
Microsoft.Maintenance	maintenance
Microsoft.NotificationHubs	notificationhubs
Microsoft.Network	privatedns
Microsoft.SqlVirtualMachine	sqlvirtualmachine
Microsoft.Confluent	confluent
Microsoft.BotService	botservice
Microsoft.PowerBIdedicated	powerbidedicated
Microsoft.Advisor	advisor
Microsoft.Cdn	cdn
Microsoft.ConfidentialLedger	confidentialledger
microsoft.databox	databox
microsoft.datadog	datadog
Microsoft.DataProtection	dataprotection
Microsoft.DevCenter	devcenter
Microsoft.Network	dnsresolver
Microsoft.Elastic	elastic
Microsoft.HealthBot	healthbot
Microsoft.KeyVault	keyvault
microsoft.managedidentity	msi
microsoft.dbformysql	mysql azure-mgmt-mysqlflexibleservers
nginx.nginxplus	nginx
microsoft.dbforpostgresql	postgresqlhsc
Microsoft.Quota	quota
microsoft.recoveryservices	recoveryservicesbackup
microsoft.cache	redis
microsoft.relay	relay
microsoft.servicebus	servicebus
Microsoft.SignalRService	signalr
microsoft.storage	storage
Microsoft.StorageMover	storagemover
microsoft.storagesync	storagesync
microsoft.support	support
Microsoft.SignalRService	webpubsub
Microsoft.Compute	compute/Recommender
dynatrace.observability	dynatrace
Microsoft.AppConfiguration	appconfiguration
microsoft.consumption	consumption
microsoft.costmanagement	cost-management
microsoft.databoxedge	databoxedge
Microsoft.EventHub	eventhub
Microsoft.NetApp	netapp
Microsoft.NetworkCloud	networkcloud
NewRelic.Observability	newrelic
PaloAltoNetworks.Cloudngfw	paloaltonetworks
microsoft.dbforpostgresql	postgresql
Microsoft.ResourceConnector	resourceconnector
Microsoft.Network	trafficmanager
microsoft.apimanagement	apimanagement
Microsoft.Attestation	attestation
Microsoft.Batch	batch
Microsoft.CognitiveServices	cognitiveservices
Microsoft.ContainerRegistry	containerregistry
Microsoft.Dashboard	dashboard
Microsoft.HybridNetwork	hybridnetwork "no specs"
Microsoft.MachineLearningServices	machinelearningservices "be part of data-plane package"
Microsoft.Management	management/Microsoft.Management/ManagementGroups
Microsoft.Peering	peering
Microsoft.ProviderHub	providerhub
Microsoft.Cache	redisenterprise
Microsoft.Authorization	resources/Microsoft.Authorization/policy
Microsoft.SecurityInsights	securityinsights
microsoft.web	web
microsoft.web	web/certificationregistration azure-mgmt-certificateregistration
microsoft.web	web/domainregistration azure-mgmt-domainregistration
Microsoft.AlertsManagement	alertsmanagement azure-mgmt-alertsmanagement
Microsoft.AzureStackHCI	azurestackhci
Microsoft.Commerce	commerce
Microsoft.Communication	communication
Microsoft.ContainerService	containerservice azure-mgmt-containerservice
Microsoft.DocumentDB	cosmos-db
Microsoft.DataFactory	datafactory
Microsoft.EventGrid	eventgrid
Microsoft.KubernetesConfiguration	kubernetesconfiguration
Microsoft.KubernetesConfiguration	kubernetesconfiguration
Microsoft.Maps	maps
Microsoft.Marketplace	marketplace
Microsoft.Purview	purview
Microsoft.RecoveryServices	recoveryservicessiterecovery
Microsoft.Search	search
Microsoft.Network	frontdoor
Microsoft.NetworkFunction	networkfunction
Microsoft.ServiceFabric	servicefabric
Microsoft.ServiceFabric	servicefabricmanagedclusters
Microsoft.App	app
Microsoft.Insights	applicationinsights
Microsoft.Authorization	authorization
Microsoft.Automation	automation
Microsoft.Kusto	azure-kusto
Microsoft.Billing	billing
Microsoft.ContainerInstance	containerinstance
Microsoft.DataMigration	datamigration
Microsoft.HDInsight	hdinsight
Microsoft.HealthcareApis	healthcareapis
Microsoft.HybridCompute	hybridcompute
Microsoft.Insights	monitor/Microsoft.Insights azure-mgmt-monitor
Microsoft.OperationalInsights	operationalinsights
Microsoft.PolicyInsights	policyinsights
Microsoft.Capacity	reservations
Microsoft.ResourceGraph	resourcegraph
Microsoft.ResourceHealth	resourcehealth
Microsoft.Security	security
Microsoft.Sql	sql
Microsoft.StorageCache	storagecache
Microsoft.Subscription	subscription
Microsoft.Resources	resources/Microsoft.Resources/resources
Microsoft.AzureArcData	azurearcdata
Microsoft.Databricks	databricks
Microsoft.DevHub	developerhub
Microsoft.AAD	domainservices
Microsoft.Education	education
Microsoft.HanaOnAzure	hanaonazure
Microsoft.VirtualMachineImages	imagebuilder
Microsoft.OffAzure	migrate/resource-manager/Microsoft.OffAzure "no specs"
Microsoft.PowerPlatform	powerplatform
Microsoft.RedHatOpenshift	redhatopenshift
Microsoft.SerialConsole	serialconsole
Microsoft.Solutions	solutions
Microsoft.Resources	resources/Microsoft.Resources/deployments
Microsoft.Resources	resources/Microsoft.Resources/databoundaries
Microsoft.Resources	resources/Microsoft.Resources/subscriptions
Microsoft.Resources	resources/Microsoft.Resources/bicep
Microsoft.Resources	resources/Microsoft.Resources/deploymentstakcs
Microsoft.Management	management/Microsoft.Management/ServiceGroups
Microsoft.ExtendedLocation	extendedlocation
Microsoft.Devices	iothub
